,x,y,value
0,-55.98,86.51,1
1,-79.33,-16.42,-1
2,-61.37,62.34,1
3,47.28,54.74,1
4,24.39,-31.21,-1
5,-69.25,59.86,1
6,-90.72,27.73,1
7,41.8,99.04,1
8,-99.31,45.94,1
9,-12.73,-25.04,-1
10,93.7,-66.51,-1
11,4.01,-89.98,-1
12,-92.69,-91.67,-1
13,77.41,-96.99,-1
14,24.91,-29.03,-1
15,38.31,-90.49,-1
16,72.89,-27.36,-1
17,43.48,62.46,1
18,81.16,-23.63,-1
19,13.27,-24.35,-1
20,-28.31,50.6,1
21,-5.05,-92.96,-1
22,36.37,82.33,1
23,-67.24,-39.09,-1
24,-2.88,-60.39,-1
25,9.01,64.1,1
26,38.31,66.36,1
27,-37.8,-0.6,-1
28,-6.89,92.53,1
29,63.63,65.57,1
30,28.89,93.0,1
31,-88.69,57.36,1
32,-20.46,32.47,1
33,35.76,-43.31,-1
34,20.29,79.83,1
35,22.78,-71.67,-1
36,43.83,66.6,1
37,-64.64,-46.36,-1
38,70.7,28.86,1
39,21.41,60.46,1
40,-90.31,53.78,1
41,-85.76,1.09,1
42,94.37,89.45,1
43,28.97,-44.18,-1
44,-44.76,64.57,1
45,-25.64,-95.97,-1
46,-34.63,76.82,1
47,79.67,-23.93,-1
48,32.53,68.35,1
49,12.66,89.33,1
50,15.76,50.44,1
51,-11.77,79.56,1
52,99.53,-98.13,-1
53,25.72,67.93,1
54,-57.65,69.96,1
55,83.94,-32.67,-1
56,39.62,-81.61,-1
57,57.64,19.51,1
58,86.77,81.66,1
59,-34.52,65.38,1
60,35.46,58.9,1
61,16.91,35.79,1
62,13.4,-99.49,-1
63,76.44,76.98,1
64,8.5,50.12,1
65,96.56,-90.84,-1
66,-24.77,-41.94,-1
67,80.47,91.51,1
68,-40.77,-69.99,-1
69,80.56,-16.35,-1
70,-89.37,-76.92,-1
71,-72.73,-94.54,-1
72,48.43,-95.23,-1
73,-7.86,-18.23,-1
74,-11.98,-64.13,-1
75,-39.51,12.86,1
76,-4.88,-77.23,-1
77,-45.13,-47.7,-1
78,-16.38,72.81,1
79,-44.91,-10.58,-1
80,-3.51,48.99,1
81,5.51,62.69,1
82,55.24,-62.59,-1
83,-92.26,2.23,1
84,26.66,12.5,1
85,37.92,-38.39,-1
86,-15.33,-64.37,-1
87,-16.95,67.15,1
88,-31.49,98.45,1
89,41.44,-93.18,-1
90,-26.15,-94.15,-1
91,30.19,-52.01,-1
92,-88.43,-47.5,-1
93,46.03,65.9,1
94,39.8,78.48,1
95,-27.72,69.27,1
96,47.73,-26.87,-1
97,71.67,-89.95,-1
98,29.4,88.69,1
99,5.26,39.68,1
100,-80.74,-2.16,-1
101,-58.82,-30.49,-1
102,-84.46,0.39,-1
103,-76.83,-74.96,-1
104,1.69,-2.4,-1
105,-48.16,36.37,1
106,85.11,-17.31,-1
107,-57.28,-97.23,-1
108,83.73,-87.58,-1
109,93.52,-28.7,-1
110,86.86,51.01,1
111,-43.8,66.74,1
112,-87.74,23.85,1
113,-34.34,13.68,1
114,-67.56,-32.58,-1
115,87.88,41.86,1
116,93.79,-36.4,-1
117,61.33,-65.79,-1
118,27.81,-2.99,-1
119,65.18,63.77,1
120,-94.37,6.6,1
121,31.83,-7.81,-1
122,-94.08,-48.57,-1
123,-34.19,7.39,1
124,84.59,-55.72,-1
125,11.11,40.65,1
126,-30.2,-12.67,-1
127,-68.41,24.26,1
128,79.44,12.67,1
129,75.08,58.76,1
130,74.49,-23.12,-1
131,-78.6,-86.77,-1
132,-72.26,-56.42,-1
133,-44.4,-45.43,-1
134,76.36,-30.22,-1
135,-12.18,8.86,1
136,96.67,65.76,1
137,-16.35,20.62,1
138,11.03,11.5,1
139,-62.68,-4.58,-1
140,-22.94,97.91,1
141,60.16,-55.65,-1
142,90.04,80.6,1
143,-65.84,5.09,1
144,-87.18,33.23,1
145,-76.02,24.59,1
146,-51.73,-59.04,-1
147,11.7,-62.42,-1
148,92.48,23.87,1
149,-74.89,87.03,1
150,80.31,-26.7,-1
151,85.45,-73.22,-1
152,-12.6,19.56,1
153,-3.16,84.95,1
154,75.07,-62.55,-1
155,50.0,-9.18,-1
156,-64.7,-85.01,-1
157,-3.1,-95.95,-1
158,-95.24,-69.96,-1
159,35.5,-62.29,-1
160,-86.89,-38.43,-1
161,-21.48,92.28,1
162,37.95,-46.91,-1
163,-62.14,47.75,1
164,-45.16,-20.9,-1
165,-47.92,-66.31,-1
166,42.57,23.95,1
167,77.9,-3.66,-1
168,80.29,-16.97,-1
169,56.3,3.04,1
170,-67.19,-31.97,-1
171,4.01,-87.02,-1
172,-91.07,-96.56,-1
173,-3.16,95.48,1
174,4.93,47.4,1
175,28.21,2.65,1
176,30.59,-79.37,-1
177,-78.97,3.98,1
178,97.08,49.37,1
179,-63.51,-18.06,-1
180,-29.49,77.9,1
181,53.65,16.59,1
182,-15.11,-39.97,-1
183,77.47,-31.9,-1
184,0.7,-34.73,-1
185,-19.27,18.11,1
186,-73.34,-8.0,-1
187,-70.71,46.76,1
188,-70.35,88.2,1
189,11.04,-25.48,-1
190,27.95,0.52,-1
191,-86.55,7.23,1
192,-38.79,3.78,1
193,89.72,-0.78,-1
194,-19.45,9.55,1
195,-66.93,78.33,1
196,89.72,95.28,1
197,-69.84,-19.69,-1
198,-27.86,-93.33,-1
199,-20.13,31.65,1
200,-76.3,-12.17,-1
201,80.61,-76.77,-1
202,-75.39,-92.96,-1
203,-96.76,-4.71,-1
204,17.69,61.63,1
205,53.62,-49.48,-1
206,-66.93,64.3,1
207,7.5,-74.74,-1
208,66.87,-43.24,-1
209,-41.16,-51.0,-1
210,-53.63,4.78,1
211,0.14,-64.98,-1
212,68.54,97.22,1
213,-3.83,-58.62,-1
214,-32.26,-53.58,-1
215,78.74,-89.6,-1
216,3.56,81.19,1
217,-32.69,-41.63,-1
218,-2.05,41.76,1
219,76.12,-48.27,-1
220,-84.09,-18.97,-1
221,-17.24,-78.9,-1
222,46.37,40.95,1
223,79.98,-18.01,-1
224,77.39,43.98,1
225,76.31,48.54,1
226,-96.44,29.66,1
227,10.97,-43.8,-1
228,-15.47,59.18,1
229,-92.01,36.53,1
230,86.97,-93.81,-1
231,-79.58,16.3,1
232,90.07,-54.69,-1
233,94.49,-59.0,-1
234,-54.62,-15.1,-1
235,-9.27,30.35,1
236,84.83,31.42,1
237,-43.59,-70.76,-1
238,-23.48,59.25,1
239,-97.55,-41.82,-1
240,73.24,3.95,1
241,64.13,43.62,1
242,-26.04,-21.89,-1
243,2.55,62.22,1
244,56.9,-26.26,-1
245,35.08,10.41,1
246,83.63,-9.82,-1
247,-28.09,-84.21,-1
248,-76.56,67.67,1
249,20.81,-47.75,-1
250,67.65,-33.21,-1
251,2.17,-2.12,-1
252,-1.84,80.98,1
253,21.77,-45.88,-1
254,52.29,94.83,1
255,-72.16,-59.62,-1
256,98.6,68.41,1
257,87.18,23.6,1
258,-42.24,-48.96,-1
259,-17.89,39.83,1
260,-28.7,86.61,1
261,-82.92,62.21,1
262,28.97,14.02,1
263,25.82,68.77,1
264,-46.0,78.33,1
265,-86.67,71.76,1
266,-70.38,-16.39,-1
267,-66.89,-12.34,-1
268,-72.57,-54.42,-1
269,-73.13,45.83,1
270,-21.04,25.28,1
271,41.85,30.16,1
272,-46.02,6.64,1
